"";"Astronomia";"Bitwa pod Grunwaldem";"Bitwa Warszawska";"Chrzest Polski";"Film dokumentalny";"Film fabularny";"Fryderyk Franciszek Chopin";"Horror na ekranie – co to za gatunek";"Ile jest planet i dlaczego";"Informatyka a coraz nowsze pojêcia informatyczne";"Informatyka bez z³udzeñ";"Johann Sebastian Bach";"Ksiezyc";"Ludwig van Beethoven";"Myœlenie komputacyjne";"Piêæ dekad - historia grafiki komputerowej";"Potop szwedzki";"Rodzaje i gatunki filmowe";"Slonce";"Wolfgang Amadeus Mozart"
"'be<u+02d0>tho<u+02d0>fn";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"–prze³om";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“astrofizyka”";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“astronomia";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“astronomia”";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“gwiazda”";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“kanon”";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“kosmologia";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“miejsc";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“nauka”";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“prawo”";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“przewrót";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"“rewolucja";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„abraham";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„altmanowska";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„amerykañskich";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"„animacj¹";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„archiwum";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"„aryjskiego”";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„bethove”";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„bethoven”";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"„bezosobowymi";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„bie¿¹cy”";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„bitwê";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„blaski";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"„bogurodzicê”";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„bohaterem";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"„bugsy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„burzliwe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„burzliwych";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
"„ceremonialnym”";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"„ch³opca";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
